               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.09311,            0.027285,            0.083956,            0.028171,             0.13506,             0.01414,           0.0054661,             0.02221,            0.013066,            0.026691,            0.070769,           0.0032479,           0.0032479
                   1,            0.063018,            0.028062,            0.079719,           0.0058887,             0.67975,            0.030785,            0.013128,            0.018823,           0.0077892,            0.026344,            0.040763,           0.0065753,           0.0065753
                   2,            0.054286,            0.025621,            0.078215,           0.0053766,             0.61449,            0.025654,            0.011931,            0.019932,            0.011839,            0.025763,            0.010751,           0.0098967,           0.0098967
                   3,              0.0481,             0.02415,            0.077419,            0.017231,             0.38821,            0.026443,            0.013062,            0.020105,           0.0090773,            0.025832,            0.009973,            0.009973,            0.009973
                   4,            0.044004,            0.022941,            0.076002,             0.35799,            0.071235,            0.043957,            0.022088,            0.014004,           0.0098229,            0.025221,            0.009973,            0.009973,            0.009973
                   5,            0.041023,            0.022387,            0.074273,             0.34978,            0.092263,            0.071897,            0.029023,            0.015452,            0.010142,            0.024425,            0.009964,            0.009964,            0.009964
                   6,            0.039335,            0.021723,            0.072598,             0.22039,             0.20226,             0.11288,            0.045946,            0.013379,            0.009219,            0.023623,            0.009955,            0.009955,            0.009955
                   7,            0.038561,            0.021416,            0.071104,             0.25195,             0.19347,             0.13809,            0.059917,            0.013814,           0.0081763,            0.022347,            0.009946,            0.009946,            0.009946
                   8,            0.037288,            0.021637,            0.068976,             0.30129,             0.19337,             0.13503,             0.06261,             0.01342,           0.0093791,            0.022379,            0.009937,            0.009937,            0.009937
                   9,             0.03732,            0.020698,            0.067319,             0.23828,             0.22244,             0.13248,            0.057997,            0.013472,           0.0081415,            0.023331,            0.009928,            0.009928,            0.009928
                  10,            0.036667,            0.020939,            0.065722,             0.38028,             0.32025,             0.23584,             0.12052,           0.0093433,           0.0083432,            0.019651,            0.009919,            0.009919,            0.009919
                  11,            0.036406,             0.02052,            0.064233,             0.23979,             0.36407,             0.26233,             0.15872,           0.0089632,           0.0069595,            0.019491,             0.00991,             0.00991,             0.00991
                  12,            0.035484,            0.020938,            0.063435,             0.19502,             0.22665,             0.14831,            0.067854,            0.015239,           0.0073315,            0.021219,            0.009901,            0.009901,            0.009901
                  13,            0.035413,            0.020601,            0.061716,             0.30129,             0.36687,             0.29637,             0.14877,            0.010328,           0.0098255,            0.018905,            0.009892,            0.009892,            0.009892
                  14,            0.035284,            0.020508,            0.060247,             0.24451,             0.24311,             0.19295,            0.081928,            0.013087,           0.0084834,            0.022794,            0.009883,            0.009883,            0.009883
                  15,            0.035385,            0.020658,            0.059612,             0.25431,              0.2601,              0.2054,            0.097904,              0.0117,           0.0069143,            0.022536,            0.009874,            0.009874,            0.009874
                  16,            0.035335,            0.020223,             0.05772,             0.34181,             0.34664,              0.2949,             0.15818,            0.011026,           0.0073669,            0.018311,            0.009865,            0.009865,            0.009865
                  17,             0.03519,            0.020255,            0.056831,             0.35997,             0.28593,             0.25897,             0.10829,            0.013909,           0.0079106,            0.017328,            0.009856,            0.009856,            0.009856
                  18,            0.035092,            0.019921,            0.056107,             0.40851,             0.36805,             0.34524,             0.15146,            0.011395,           0.0098049,            0.017478,            0.009847,            0.009847,            0.009847
                  19,            0.034645,            0.020345,            0.054556,             0.42071,             0.32419,             0.29213,             0.14772,            0.013395,           0.0075002,            0.018231,            0.009838,            0.009838,            0.009838
                  20,            0.034481,              0.0196,            0.053248,             0.33871,             0.25721,             0.21421,             0.09865,            0.016112,           0.0092628,            0.016988,            0.009829,            0.009829,            0.009829
                  21,            0.034605,            0.020031,            0.052502,             0.45706,             0.43591,             0.41233,             0.20396,           0.0098338,           0.0071359,            0.017437,             0.00982,             0.00982,             0.00982
                  22,             0.03406,             0.02031,            0.051142,             0.47838,             0.45002,             0.44069,             0.24051,            0.009458,           0.0067269,            0.016275,            0.009811,            0.009811,            0.009811
                  23,            0.033878,            0.020033,            0.050575,             0.44078,             0.37595,             0.37153,              0.1972,           0.0095262,           0.0069632,            0.018217,            0.009802,            0.009802,            0.009802
