               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.093062,            0.027028,            0.083928,            0.012254,             0.42335,            0.014974,           0.0048796,             0.02234,            0.011825,            0.026725,            0.070769,           0.0032479,           0.0032479
                   1,            0.063107,            0.027891,            0.079859,           0.0051439,             0.71264,             0.03368,            0.011236,            0.019406,           0.0081857,            0.026031,            0.040763,           0.0065753,           0.0065753
                   2,            0.054549,             0.02525,            0.078147,           0.0040218,             0.60367,            0.013078,           0.0046507,            0.020201,            0.012897,            0.025841,            0.010751,           0.0098967,           0.0098967
                   3,            0.048017,            0.023392,            0.077655,            0.004266,             0.52694,            0.022775,           0.0092606,            0.018944,            0.010032,            0.025897,            0.009973,            0.009973,            0.009973
                   4,            0.043152,            0.022891,            0.076732,             0.51513,            0.053424,            0.032937,            0.014462,            0.018559,           0.0091309,            0.025559,            0.009973,            0.009973,            0.009973
                   5,            0.041369,            0.022107,            0.075115,             0.15132,             0.20419,             0.10493,            0.064339,           0.0078726,           0.0086932,            0.023923,            0.009964,            0.009964,            0.009964
                   6,            0.039648,            0.021674,             0.07332,             0.38466,             0.15442,             0.07893,            0.045481,            0.011949,           0.0087427,            0.025451,            0.009955,            0.009955,            0.009955
                   7,            0.038051,            0.021469,            0.071573,             0.31285,              0.2374,             0.12021,            0.058074,            0.011029,           0.0087111,            0.024564,            0.009946,            0.009946,            0.009946
                   8,            0.038046,            0.021237,            0.069466,             0.18465,             0.29549,             0.16789,            0.093053,            0.010807,           0.0073123,             0.02181,            0.009937,            0.009937,            0.009937
                   9,            0.037667,            0.020686,            0.068054,             0.28235,             0.25338,             0.16984,            0.082397,            0.010788,           0.0086116,            0.023079,            0.009928,            0.009928,            0.009928
                  10,            0.036848,            0.020424,            0.066956,             0.29245,             0.21501,             0.11501,            0.047237,            0.015214,           0.0099971,            0.022677,            0.009919,            0.009919,            0.009919
                  11,             0.03622,            0.021075,            0.064924,             0.25044,             0.22998,             0.15971,            0.085459,            0.012094,            0.006422,            0.024447,             0.00991,             0.00991,             0.00991
                  12,            0.035972,             0.02066,            0.063815,             0.32943,             0.32497,             0.24191,             0.11319,            0.011951,           0.0080108,            0.020205,            0.009901,            0.009901,            0.009901
                  13,            0.036172,            0.020016,            0.061817,             0.31337,             0.31175,             0.22305,             0.11071,            0.014148,           0.0064932,            0.020708,            0.009892,            0.009892,            0.009892
                  14,            0.035247,             0.02029,            0.061315,             0.32138,             0.43044,             0.34838,             0.20705,           0.0089643,           0.0080695,            0.017634,            0.009883,            0.009883,            0.009883
                  15,            0.035713,            0.020251,            0.060038,             0.44096,             0.28771,             0.22867,            0.091913,            0.014302,           0.0077963,             0.01981,            0.009874,            0.009874,            0.009874
                  16,            0.035243,            0.020144,            0.058324,             0.28057,             0.23801,             0.14736,            0.072796,            0.011506,           0.0081635,            0.024611,            0.009865,            0.009865,            0.009865
                  17,            0.034732,            0.019867,            0.058027,             0.27604,             0.30217,              0.2463,             0.11392,            0.012859,           0.0073054,            0.018468,            0.009856,            0.009856,            0.009856
                  18,            0.034822,            0.020226,            0.057342,             0.32273,             0.32501,              0.2653,             0.13023,           0.0099591,            0.007487,            0.020985,            0.009847,            0.009847,            0.009847
                  19,            0.034256,            0.020004,            0.056705,             0.39444,             0.43411,             0.36181,             0.21155,           0.0093138,           0.0068291,            0.016556,            0.009838,            0.009838,            0.009838
                  20,            0.033819,            0.019811,            0.055296,              0.2008,             0.21181,             0.14193,            0.059997,            0.015942,           0.0081586,            0.020321,            0.009829,            0.009829,            0.009829
                  21,            0.034163,            0.019666,            0.053902,             0.41881,             0.45564,             0.42349,             0.19602,             0.01076,           0.0080748,            0.015087,             0.00982,             0.00982,             0.00982
                  22,            0.033432,            0.019574,            0.053746,             0.40344,             0.41397,             0.35854,             0.18996,           0.0097691,            0.007029,            0.016939,            0.009811,            0.009811,            0.009811
                  23,            0.033731,            0.019991,            0.052104,             0.46011,             0.50911,             0.48157,             0.31277,           0.0062548,           0.0067607,            0.014555,            0.009802,            0.009802,            0.009802
                  24,            0.033589,            0.019554,            0.051415,             0.44638,             0.46978,             0.44225,             0.21721,             0.01044,           0.0079821,            0.014587,            0.009793,            0.009793,            0.009793
                  25,            0.033178,             0.01965,            0.051296,             0.47078,             0.44367,             0.43498,             0.22493,            0.011323,           0.0076343,            0.014773,            0.009784,            0.009784,            0.009784
